id,final_position,steps
0,156,+++-+--+++--+--++++++++++++-++-++++-+++++++-+++++++++--+-+-+++++-+-++-++-+---++++-+++-+-+++++++++-+-+++++-+++++++++++++++++++++++++-+++++++--+--+++-+++++-+++--++++++++-+++++++++-+++++++-++++++++++-----+++++++++-++++++-++--++-+++-++++++-+-+--++-++--+-+-++-++++-+-+-+-++++++++++++-++-+++--++++++-+-++-+
1,178,+-++++-+-++++-+-+-+-+-+-++-+++++-+-++++--+++-+++++--++++++++-++++++-++-++++--++-++++++++---++++++++++--+++-+++-++++++++++++-+++++++++++++++++++-+++-++++-++--++--++-+++++++-+++-+-+++++-++++++-+-+++++-++++-++++-+++++++-++-+++++++-++++-+++++++-+++++++--++-+++++++++++-++++++++++++++-+++++++++-+++++++-+-
2,176,-++--+++++++-+--++++-+++++--+-++-+-+-+++++++++-+--++++-+++++-++-+-+-++++-+++++-+++++++++-+++-++++-++-++++-+-++++++-+-+--+++--++--+++++++++-++-+++-++-+++++++-++-+-++++++++++++++++-++++++++-+++++++++++++++++++++-++++++-++++-+---+++-++-++++++-+-+++++++-+++++++++++-++++++++-+++++++++-+-+++++-+++++++++++
3,170,++++++-+-++-+++++++--++-+++++++++-++++++++++-+-+-+++-+++++++++-++++++-++++-+-+++++++++++-+++++-+++++++-++++-++++++++++++++-+--++++-+-+-++++-+--++++--++++-+-+++-+++++++++-++-+++-+++++-++++++---+++-++-+++++--++--+-++-++-+--+++++++++++-++-++-+-+-+++-+++-+++++++-+++++++++-+++++++-+-++++++++++++++-+--+++
4,194,++++++-+++++++++++++++++++++++-+-+++--+--+++++--+--++-++++++++++++---+++++-++-+++++++++++++++-++-+-+++++++++-+--++++-+++++++-+-+++++++++-+-++-++++-++++++++-+-++-++++++++-+--+++-+++++++++++++++++-+++-+-++++-+++++++-++++-++-+-+++++++++++-++-++++-++++++++-+++++++++-++-+++++++++++-+++++++++++++++-++++++
5,160,++-+++-+++-+++++++++++-++-++-++++-+-++++-++++-+-+++-++++++++++-+++++++++-+++++++--+++---+-+-+++++++++++++++--++++++++++++++++++-+++-+++++-+-++++-++++++---++-++++++--++-++--+--++++++--+++--++--+-+++++--++-+++-+++-+--++++++--+-+-+++++++--++-++++-+++++-++++-++++++++++-++++-++++++++++++++--++++++-+-++-+
6,196,+++++++-++++++-+++---+++++-++++++++-+-+++++++++-+++++-+++++++-++++-+++++++-+++-++-+-++++++++-++++++-++++-+++-++++-+++-++++++++-++++++++-+++++++++++--++-++-++-++--+++++++-+++++++++-+++++++++++-++--++++++-+++-++++++++-++++++-+++++++-+++++++++-++++++++--++++-++-++++++++-++-++-+++++++++++-+-++++++++++-+
7,174,++++++-++--++--+++++++++++----+++-+++++-+++--++-++-+++++++++++-++--+---++++++++++++++-+++-+++++---++-+++-++++++++++++--+--++++++++-+++++++++++--+-++++++++++++++++-++++++++++-+++-++++-+++-+++++++++-+++++-++-++++-+++++++++++++-+-++--+++++++++++++-++++++--++++--++-++-+++-+++++-+-++++++-+++++++++-+++-+-
8,186,-++-+-+++-+++++-++-++++++++++++++++++++++++++-+++++-+++++-++++-++++++++++-++-++++-++-++++++++-+++++++-++++-++++++++--++++-+++++--++++++++++++--+++-+--++-+++++++-++++-+----++++++++-++-+++-++-++-++--+++++-+-++--+++++-+++++++++++++++++++++-++-+-+++++++--+++-+++-++++++++++--++++++++++++++++-++++++++-+++
9,176,+--++-++++++++-+++++++-++-++++++++--+++++++--+-+++++--++++++++-+-+--++++-++--++---++++++-+-+-++-++-+++++-++-+++++++-+++++-+-+-+++-++-+++++++-++++++++-+++-++-+++++-+++++++++++++++++++++++++++-+++-++++-++++++++-+++++-+++++-++++-++-++-++++++++++++++-++++++-++-++-+-+-+++++++++++-+++++++-+-+-+-+++-++++++
10,184,-+++--++++++-+++++++-++-++++++++++--++++-++++++++++++-++--+++-+-++++++-+-++--+++--+++++++-++--+++-+-+-++--+-++++++++++++++---++++++++++++++++++-+++++-+++++--++++++-++-+-++++++-+-+++++-+++-++-+++++++++++++-+++++++++-++++-++++++++++++++++-+++-+--+++++++-++++++++++-+++-++++-++++++++++-+++++++++-++++++-
11,190,++++++++-++++++++++++-++++--++++-+++++++++++-++++++-++++-+-+++++++++-+++++++++-+-++-++++++++++-+++--+++++++++++++++-+++++++++++++-+++++-+-++++++-+--+-+-+-++++++++++-+-+++++-++++++++++--++++-++-++++++-+++-++++++++++++--+-++-++++++-+-+++++++++++++++-+++++-+-+-+-++--+++++-+-++++++++++--+++++++++-+--+++
12,176,+--++-++++++-+-+++++++++++-+-++++-++-+++---+++-+++++-+++++-++-++-+-++++++++-+++++--+++++++-++-++++++-+++++-++++-++-+++--++++++-++-+++++++++-+++++++++++++++-+++++++++++---++-++++++++-++-+--+++++++++---++-+-++++++++-+++-+++++++++++-+++++++++++-+++++++++++-++++--++-+-++++++++-++++++-++-+--++-+++-++++++
13,162,+++-++-+-+-++-+++----++-+++++-++++-+-+++++++-+++++--+-++++--+++++-+++++++++++++--+++---++++++-++++++++++-++++++++-+++++-+++-++-+++++++-++++-++++-++++++-+++++----++++-++--+-+--++++-+++++++-+-++++--+++++++-+++++++++-++++++++++++-++++++++-+-+++++++-+-+++++-+-++++++++++++-+++--++--++++++++-+-+++-+-+-+++
14,190,---+++++-++++++--++++++++++++++++-++++++--++++++-+++++--++-+++++++++++-++++-+-++--+++++++-+-++--++++++++++++-++-++-++-+++--+++++++++++++-++++++-+-+++++++-+++++++++--++++++-+++++++-++++++++-+++++++++++++++--++++++++++++++++-+++++++++-++++++++++-++++-++--+++++++++++--++++++++----++++++-+-+++-++++++-++
15,140,++-+++++-+-+++--++-++++++-++++++-+-++++--+-+-+++++-++++++-++-+++-++++--++++-+++++++++++--++++++--++++++++++++++-+--+-+-+++++++-++-+++++---+-++-+-+-++++-+---+-+++++++++-++----+++++++--+++-+-+++--+--+++-+-+++++++++-+++++-++++-+++---++++++-++---+++-+-+++-++++++-++++++++-+-+++++-++--+++++++++-++--++++++
16,174,++++++-+++++++--+++++++++++-++-+-+++-+++-++++-+++++++-++++++--++++++--+++++++++--++++++++++---++++++++--+++-+++++--++++++-+-+-+++++++++-++-+++-++++++++++++--++-+++++++-+--++++++++-+++++++++-++++-++++-++-++--+--+++++++-++-++++-+++++-+++-+--++--++++-++++++++++++++++++++++++++-++++-+-++-++-+-+--+++++++
17,198,+++++++++-+++--++++-+--++++---++++++++-++++++-+++++++++++++++-+++++++++++++++++++-+++-++++-+++++++++-+++++-+++++++-+++-++-++++-++-++++++++----+++-+++++++++-+-++++-+--++++--+++++++++++++++++++++-++++-+++++-++++++++-+++++++---+-+++++++++-++++-+++++-+++++++++-++-++++++-+++-+++++++++++++++-+++++++-+++++
18,194,+-++++++++++++-+-+--++++++++++-++++-+-+++++++++++--++-+++++++++++-+-+++-+-++++-++++-+++-++-+++++++++++++-++++-++++++-+++-+++-++++++-+++++++++++++++++-++-+++-+++-++-+++++--++++++++--++++-++-+++++++++-+++--++-+++--++++-++-++++++++++-++++++++++++++++++-++++++-++++-+++-+++++++++-++-+++++++++++++++++--++
19,218,++++++-+++++-+-+++++++++++-+++++++---+-++++-+++++-+++-++++++++++++++-+++++++-+++++-+-++++-+++++--+++++++++++++-++++-+++++-+-++++++-+++++++++++-+++++-++++++++++++++++++-+++++++++++-+++-++++-++++--+++++-++++++-+-+-+++++-++++++-+++++++++++++++++++-++++++++++++++++++++++++-+-+-++++++++++++++++++++++++++
20,196,-+++++-++-++++++-+--++-++++++++++-++++-+++-++++-+-+--+++++++++++++++++-+-++++++++++++++++++++-+++++-++++++++++++-++++++++++--++++++++++++-+--++-++++--+++-++++++-++++-+++++++-+++-++-++++++-++++-++++-+++++++++-++--++++-+-++++++-+++++++++-++++++++-+-+-+++++++++++++--++++++++++++-++++-++++++++-++++-++++
21,190,++-+++-+++-+++-++++-+++++++++++++-++++++++-++++++++++-++-+++++-+++-++++-++++++++++++++++--+-+-++-++++++++++-++++-+++++++++--++++++++++-++-++++++++-++++++++-+++++-++-+++-+-+-+-+--+++-++++-+-++-+++++++++++--+-+++++++++-+++++++++-+++++++++++++-++--++++++++-++++++-++++++-++++++-+++--++++++++---++++++-++
